Country,Water.quant..Lakes.and.rivers,Water.qual..Lakes.and.rivers.,Alternative.ecosystems,tot.water.stress,agr.water.stress,serv.water.stress,indu.water.stress,total.water.use.effic,agr.water.use.effic,serv.water.use.effic,indu.water.use.effic,safe water,basic water,safe san,basic san,OD,Safe.not.basic..Water,Safe.not.basic.Sanitation,Basic.not.safe.Water,Basic.not.safe.Sanitation,General.Water,general.Sanitation,Hygiene,Wastewater,iwrm
Afghanistan_total,1,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Algeria_total,NA,NA,NA,1,1,1,,1,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
American Samoa_total,NA,NA,1,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,1,NA,NA,
Armenia_total,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,,,,,1,,,,,
Australia_total,NA,NA,1,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Azerbaijan_total,NA,,,1,1,,,,,,,,,,,,,,,,,,,,
Bahrain_total,1,NA,1,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Bangladesh_total,1,,,,,,,,,,,,,,,,,,,,,,,,
Belarus_total,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,1,NA,NA,
Bosnia and Herzegovina_total,NA,NA,NA,NA,,,,,,,1,1,,,,,1,NA,NA,NA,NA,NA,NA,1,
Burkina Faso_total,NA,NA,NA,NA,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,
Cambodia_total,,,1,,,,,,,,,,,,,,,,,,,,,,
CÃƒÂ´te d'Ivoire_total,NA,NA,1,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,1,
Central African Republic_total,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,1,1,NA,NA,
Chile_total,NA,NA,NA,1,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
China_total,NA,NA,NA,1,1,1,,1,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Colombia_total,1,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Congo_total,NA,NA,NA,NA,,,1,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Costa Rica_total,1,,,,,,,,,,,,,,,,,,,,,,,,
Croatia_total,1,,,,,,,,,1,,,,,,,,,,,,,,,
Cuba_total,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Cyprus_total,,NA,NA,NA,,,,,,,1,,,,,,NA,NA,NA,NA,NA,NA,NA,,
Democratic People's Republic of Korea_total,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,1,NA,NA,NA,
Democratic Republic of the Congo_total,NA,NA,NA,NA,,,,,,,,,1,1,1,,NA,NA,NA,1,1,1,NA,NA,
Dominican Republic_total,NA,NA,1,1,1,,1,,,,1,,,1,,,NA,NA,NA,1,NA,NA,1,1,
El Salvador_total,NA,NA,,1,,1,1,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Estonia_total,1,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,1,NA,NA,
