Country,Group,Broad_group,Sub_group,
Albania,Firm Synergy,Firm Synergy,,
Austria,Risky Synergy Water Use,Risky Synergy,Water use,Water use efficiecny services
Belgium,Risky Synergy Water Use,Risky Synergy,Water use,Water use efficiecny services
Benin,Firm Synergy,Firm Synergy,,
Bhutan,Firm Synergy,Firm Synergy,,
Botswana,Firm Synergy,Firm Synergy,,
Brazil,Risky Synergy Environment,Risky Synergy,Environment ,
Bulgaria,Firm Synergy,Firm Synergy,,
Canada,Firm Synergy,Firm Synergy,,
Chad,Firm Synergy,Firm Synergy,,
Czechia,Firm Synergy,Firm Synergy,,
Denmark,Risky Synergy Water Use,Risky Synergy,Water use,
Estonia,Risky Synergy Water Use,Risky Synergy,Water use,Water stress services and total
Fiji,Risky Synergy Water Use,Risky Synergy,Water use,Water ue efficiency
France,Firm Synergy,Firm Synergy,,
French Guiana,Firm Synergy,Synergy,,
Hungary,Firm Synergy,Firm Synergy,,
Iraq,Firm Synergy,Firm Synergy,,
Israel,Firm Synergy,Firm Synergy,,
Kenya,Firm Synergy,Firm Synergy,,
Lao People's Democratic Republic,Risky Synergy Water Use,Risky Synergy,Water use,
Latvia,Firm Synergy,Firm Synergy,,
Lithuania,Firm Synergy,Firm Synergy,,
Luxembourg,Firm Synergy,Firm Synergy,,
Mali,Firm Synergy,Firm Synergy,,
Malaysia,Risky Synergy Environment,Risky Synergy,Environment ,
Malta,Risky Synergy Water Use,Risky Synergy,Water Use,
Mongolia,Firm Synergy,Firm Synergy,,
Montenegro,Firm Synergy,Firm Synergy,,
Moldova,Risky Synergy Environment,Risky Synergy,Environment ,
Morocco,Risky Synergy Water Use,Risky Synergy,Water use,Water stress industries
Netherlands,Risky Synergy Water Use,Risky Synergy,Water use,Water use efficiency services and water stress services
Nicaragua,Firm Synergy,Firm Synergy,,
Niger,Firm Synergy,Firm Synergy,,
Northern Mariana Islands,Firm Synergy,Firm Synergy,,
Norway,Risky Synergy Water Use,Risky Synergy,Water use,Water use efficiency industry
Palau,Firm Synergy,Firm Synergy,,
Philippines,Risky Synergy Water Use and Environment,Risky Synergy,Environment and Water use,
Russian Federation,Risky Synergy Water Use,Risky Synergy,Water use,
Senegal,Risky Synergy Water Use,Risky Synergy,Water Use,
Slovenia,Risky Synergy Water Use,Risky Synergy,Water use,Water stress industries and total
Somalia,Firm Synergy,Firm Synergy,,
Sweden,Firm Synergy,Firm Synergy,,
Switzerland,Firm Synergy,Firm Synergy,,
Togo,Risky Synergy Environment,Risky Synergy,Environment ,
Uruguay,Risky Synergy Environment,Environment,Environment,
